_id,Gemeente,CBS gemeentecode,Nummer stembureau,Naam stembureau,Gebruikersdoel het gebouw,Website locatie,Wijknaam,CBS wijknummer,Buurtnaam,CBS buurtnummer,BAG referentienummer,Straatnaam,Huisnummer,Huisnummertoevoeging,Postcode,Plaats,Extra adresaanduiding,X,Y,Longitude,Latitude,Districtcode,Openingstijden,Mindervaliden toegankelijk,Invalidenparkeerplaatsen,Akoestiek,Mindervalide toilet aanwezig,Kieskring ID,Hoofdstembureau,Contactgegevens,Beschikbaarheid,ID,UUID
1815,Amersfoort,GM0307,9,Schoolgebouw de Baander,onderwijsfunctie,,Wijk 10 Liendert,WK030710,Vinkenbaan,BU03071001,0307200000403595,Zangvogelweg,152,,3815DR,Amersfoort,,,,5.40301957357113,52.1649484605506,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Amersfoort,Amersfoort,info@amersfoort.nl,https://ckan.dataplatform.nl/dataset/amersfoort-opendata-aib_stembureaus_2018,NLODSGM0307stembureaus20180321002,48d03f25c4b8426aaa3b72458b29a264
1816,Amersfoort,GM0307,15,Undineflat,overige gebruiksfunctie,,Wijk 13 Schuilenburg,WK030713,Romeostraat,BU03071300,0307200000468688,Undinestraat,1,2,3816GB,Amersfoort,,,,5.40967717187278,52.1536420037925,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Amersfoort,Amersfoort,info@amersfoort.nl,https://ckan.dataplatform.nl/dataset/amersfoort-opendata-aib_stembureaus_2018,NLODSGM0307stembureaus20180321002,c0a7504c75c649adafc8042a1b20ed2a
1817,Amersfoort,GM0307,22,De Eemgaarde,woonfunctie,,Wijk 15 Vermeerkwartier,WK030715,Dorrestein,BU03071503,0307200000493141,Dorresteinseweg,49,623,3817GB,Amersfoort,,,,5.39870649897567,52.1383957631399,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Amersfoort,Amersfoort,info@amersfoort.nl,https://ckan.dataplatform.nl/dataset/amersfoort-opendata-aib_stembureaus_2018,NLODSGM0307stembureaus20180321002,f4aed609a1e242f78cd2c4836ce1e4fb
1818,Amersfoort,GM0307,30,MBO Leusderweg,onderwijsfunctie,,Wijk 16 Leusderkwartier,WK030716,De Driehoek,BU03071600,0307200000415799,Leusderweg,30,,3817KB,Amersfoort,,,,5.38376992699884,52.1480411426863,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Amersfoort,Amersfoort,info@amersfoort.nl,https://ckan.dataplatform.nl/dataset/amersfoort-opendata-aib_stembureaus_2018,NLODSGM0307stembureaus20180321002,36564f20b757422bbdc2354cea3a36bc
1819,Overbetuwe,GM1734,8,Het Westeraam,onderwijsfunctie,,Wijk 00 Elst,WK173400,Elst-Noordoost,BU17340002,1734200000054988,Auditorium,6,,6661TZ,Elst,,,,5.86016770874918,51.9185486530701,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,N,Y,Overbetuwe,Overbetuwe,tel. 140481,https://www.overbetuwe.nl/,NLODSGM1734stembureaus20180321002,335e000620c242cfb7262bbbf46f0c6f
1820,Rotterdam,GM0599,435,De Rotterdam,bijeenkomstfunctie,,Feijenoord,WK059910,Kop van Zuid,BU05991017,0599100100002429,Holland Amerikakade,106,,3072MC,Rotterdam,Wilhelminakade 143-179,,,4.48850997388642,51.9066693714189,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Rotterdam,Rotterdam,verkiezingenpzr@rotterdam.nl,https://www.rotterdam.nl/wonen-leven/verkiezingen/,NLODSGM0599stembureaus20180321002,0601c4d240454557b29c8ef946f6a3b9
1821,Stichtse Vecht,GM1904,24,Woonzorgcentrum De Aa/Driestroom,gezondheidszorgfunctie,,Wijk 02 Breukelen,WK190402,Breukelen Midden,BU19040215,0311200000001225,De Aa,50,,3621VV,Breukelen,,,,4.99638489134099,52.1766596356491,24.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,c0c0f61cb3c94de09cffa877bbcc87d8
1822,Stichtse Vecht,GM1904,25,OBS de Regenboog,onderwijsfunctie,,Wijk 02 Breukelen,WK190402,Breukelen Midden,BU19040215,0311200000003006,Heycoplaan,13,,3621WS,Breukelen,,,,5.00039303653083,52.1755309137476,25.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,b302c27770c94756b1e18bdb51f19255
1823,Stichtse Vecht,GM1904,23,Gemeentehuis Boom en Bosch,kantoorfunctie,,Wijk 02 Breukelen,WK190402,Breukelen Zuid,BU19040213,0311200000004881,Markt,13,,3621AB,Breukelen,,,,5.00584473597516,52.1708975485383,23.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,2ccbac6bc6324f08984c8c87bb1b178c
1824,Stichtse Vecht,GM1904,26,Wijkcentrum Over-Noord,bijeenkomstfunctie,,Wijk 02 Breukelen,WK190402,Breukelen Noord,BU19040207,0311200000005496,Vrijheidslaan,4,,3621HH,Breukelen,,,,4.99838931077609,52.1809319502722,26.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,06d307793c164c42bb4cf768f5194575
1825,Stichtse Vecht,GM1904,29,Zorgcentrum Overdorp,gezondheidszorgfunctie,,Wijk 05 Kockengen,WK190405,Kockengen Dorp,BU19040505,0311200000007618,Overdorp,6,,3628BX,Kockengen,,,,4.9504504127292,52.1484085931234,29.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,39d93e72e86b48e39afb4cb4054657bc
1826,Zwolle,GM0193,56,Het Zonnehuis,gezondheidszorgfunctie,,Wijk 22 Stadshagen,WK019322,Werkeren,BU01932230,0193200000043763,Nijenhuislaan,175,,8043WB,Zwolle,,,,6.046234,52.535549,,2017-03-21T07:30:00 tot 2017-03-21T21:00:56,Y,Y,,,Zwolle,Zwolle,"Bureau Verkiezingen, verkiezingen@zwolle.nl 038-4982160 Postbus 10.007, 8000 GA Zwolle","https://zwolle.maps.arcgis.com/apps/Embed/index.html?webmap=53924f64abd345848c2b7d1af587b400&extent=5.8856,52.4017,6.3716,52.5949&zoom=true&scale=true&search=true&searchextent=false&disable_scroll=false&theme=light",NLODSGM0193stembureaus20180321002,c103ebfeed664b58ba19c7edad316fc3
1827,Stichtse Vecht,GM1904,28,Brandweerkazerne,"bijeenkomstfunctie, overige gebruiksfunctie",,Wijk 05 Kockengen,WK190405,Kockengen Dorp,BU19040505,0311200000002145,Sportweg,1,,3628AZ,Kockengen,,,,4.95631999553117,52.148193617405,28.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,a5d5a42d30794de391272543ce61a2ca
1828,Stichtse Vecht,GM1904,31,Verzorgingstehuis ’t Kampje,"gezondheidszorgfunctie, kantoorfunctie, overige gebruiksfunctie",,Wijk 03 Loenen aan de Vecht,WK190403,Driehoven,BU19040308,0329200000000414,Driehovenlaan,2,,3632BK,Loenen aan de Vecht,,,,5.02012132631446,52.2088985776133,31.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,4086146fc65647c6ba9292d54f92e99a
1829,Stichtse Vecht,GM1904,35,Cultureel Centrum ‘t Web,bijeenkomstfunctie,,Wijk 03 Loenen aan de Vecht,WK190403,Loenen Dorpskern,BU19040310,0329200000001592,Spinnerie,15,,3632ET,Loenen aan de Vecht,,,,5.02384319132143,52.2102377817958,35.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,75e5cecc0784446d817844d5b78787df
1830,Stichtse Vecht,GM1904,34,Montessorischool Loenersloot,onderwijsfunctie,,Wijk 10 Loenersloot,WK190410,Loenersloot Dorp,BU19041003,0329200000002230,Hollandstraat,25,,3634AS,Loenersloot,,,,5.00123152377683,52.2296282158628,34.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,edd3e15621c44d389bd6ce04a9a32e30
1831,Stichtse Vecht,GM1904,20,Zwembad Safari,bijeenkomstfunctie,,Wijk 12 Maarssenbroek,WK190412,Bisonspoor,BU19041214,1904200000030989,Bisonspoor,237,01,3605JM,Maarssen,,,,5.02640562052839,52.1359040840397,20.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,18e3f29e5c62477f9d7672a108f9d5b1
1832,Stichtse Vecht,GM1904,10,KBS De Wilde Wingerd,onderwijsfunctie,,Wijk 12 Maarssenbroek,WK190412,Bloemstede,BU19041209,0333100000016357,Bloemstede,2,,3608TK,Maarssen,,,,5.03156,52.12635,10.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,95ec7922ff41433799662df9a85a90fb
1833,Rotterdam,GM0599,168,Huis van de Wijk Post West,bijeenkomstfunctie,,Delfshaven,WK059903,Nieuwe Westen,BU05990324,0599100000680465,Tidemanstraat,80,,3022SM,Rotterdam,Tidemanstraat 80 (rechts),,,4.44831357432293,51.9172245987782,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Rotterdam,Rotterdam,verkiezingenpzr@rotterdam.nl,https://www.rotterdam.nl/wonen-leven/verkiezingen/,NLODSGM0599stembureaus20180321002,51dc95280fba423abe59d8a931f14bea
1834,Apeldoorn,GM0200,,Stadhuis,kantoorfunctie,,Centrum,WK020001,Binnenstad,BU02000101,0200200000083992,Marktplein,1,,7311LG,Apeldoorn,,,,5.963941136,52.215755784,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Apeldoorn,Apeldoorn,,,NLODSGM0200stembureaus20180321002,e34641f240f84283b7ae025fd5d4485d
1835,Stichtse Vecht,GM1904,22,Basisschool Het Kompas,onderwijsfunctie,,Wijk 01 Maarssen,WK190401,Centrum ten zuiden van de Vecht,BU19040110,1904200000032283,Bolensteinsestraat,9,,3603AZ,Maarssen,,,,5.0383063764139,52.1393820318124,22.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,df1c059585f445a9bbf3877d47910d4b
1836,Stichtse Vecht,GM1904,5,Basisschool ’t Palet,"logiesfunctie, onderwijsfunctie",,Wijk 01 Maarssen,WK190401,Zandweg-Oostwaard,BU19040105,0333200000015613,Buitenweg,310,,3602ZK,Maarssen,,,,5.05316588920868,52.1361616575349,5.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,5865df2e29e14ec1baef7268dac2d675
1837,Stichtse Vecht,GM1904,8,Basisschool Het Kompas,"onderwijsfunctie, overige gebruiksfunctie",,Wijk 01 Maarssen,WK190401,Zandweg-Oostwaard,BU19040105,0333200000001379,Buitenweg,308,,3602ZK,Maarssen,,,,5.05315800515593,52.1361826851617,8.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,97a522ef6f484474ad006d8e38525be8
1838,Stichtse Vecht,GM1904,13,WereldKidz Tweesprong Duivenkamp,onderwijsfunctie,,Wijk 12 Maarssenbroek,WK190412,Duivenkamp,BU19041208,0333200000006378,Duivenkamp,547,,3607BL,Maarssen,,,,5.02521038559669,52.1334950354395,13.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,b375a256988d47c9a4e03a9019f514b0
1839,Stichtse Vecht,GM1904,1,Gemeentekantoor,kantoorfunctie,,Wijk 01 Maarssen,WK190401,Omgeving Goudestein,BU19040107,0333200000018209,Endelhovenlaan,1,,3601GR,Maarssen,,,,5.0329852407719,52.1445718592006,1.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,a8c2bf8ad60f48fa8c904bd0af04c23e
1840,Stichtse Vecht,GM1904,12,Wereldkidz Tweesprong Fazantenkamp,onderwijsfunctie,,Wijk 12 Maarssenbroek,WK190412,Fazantenkamp,BU19041203,1904200000032497,Fazantenkamp,159,,3607CH,Maarssen,,,,5.01850613677451,52.1308909388569,12.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,50018cea11464693bb161ebd63974dde
1841,Assen,GM0106,,De Voorhof,,,Wijk 07 Marsdijk,WK010607,De Hoven,BU01060706,,M.L. Kingweg,50,,,Assen,,,,6.581056073,53.015371003,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Assen,Assen,,,NLODSGM0106stembureaus20180321002,eb3b5ceb43d2421894b5e31bb602a1ab
1842,Stichtse Vecht,GM1904,11,De Shelter Scouting,sportfunctie,,Wijk 12 Maarssenbroek,WK190412,Boomstede,BU19041204,0333200000000265,Floraweg,16,,3608BW,Maarssen,,,,5.03436338136828,52.1216203765582,11.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,f9c4ec0fb49748c0a46f585f3b0b0737
1843,Stichtse Vecht,GM1904,9,WereldKidz Palet,onderwijsfunctie,,Wijk 01 Maarssen,WK190401,Centrum ten zuiden van de Vecht,BU19040110,0333200000009094,Gaslaan,22,,3603CN,Maarssen,,,,5.03723854256832,52.1393290846055,9.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,a187b734d4084a7db134f5ea7ed59ed5
1844,Stichtse Vecht,GM1904,19,Basisschool De Kameleon,woonfunctie,,Wijk 12 Maarssenbroek,WK190412,Kamelenspoor,BU19041212,1904200000032342,Kamelenspoor,81,1,3605ED,Maarssen,,,,5.02165601831538,52.1385362954079,19.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,ee533214643b4a1c8ef4246d26d409fc
1845,Stichtse Vecht,GM1904,3,Basisschool De Klaroen,onderwijsfunctie,,Wijk 01 Maarssen,WK190401,Zeeheldenbuurt,BU19040115,0333100000013689,Michiel Adriaanszoon de Ruyterstraat,2,,3601TJ,Maarssen,,,,5.04211,52.14622,3.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,a6e3d924041b4a08a11bbf90d1af2674
1846,Stichtse Vecht,GM1904,4,KBS De Pionier,onderwijsfunctie,,Wijk 01 Maarssen,WK190401,Schilderskwartier,BU19040112,0333100000019854,Thorbeckelaan,2,,3601BM,Maarssen,,,,5.04677,52.14096,4.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,90a6045f92924130b90eaaa7abf54845
1847,Stichtse Vecht,GM1904,14,RK Verrijzenisgemeenschap,bijeenkomstfunctie,,Wijk 12 Maarssenbroek,WK190412,Reigerskamp,BU19041205,0333200000006711,Reigerskamp,611,,3607JK,Maarssen,,,,5.01825452152324,52.1326918864417,14.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,877475c138e64683af8aa958fc95b246
1848,Aalten,GM0197,,OBS De Wegwijzer (Duplo),bijeenkomstfunctie,,Wijk 04 Dinxperlo,WK019704,Dinxperlo Centrum/Oost,BU01970400,0197200000472097,Nieuwstraat,47,,7091DE,Dinxperlo,,,,6.483771473,51.863715606,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Aalten,Aalten,,,NLODSGM0197stembureaus20180321002,85f2a5bb9e7b48388748ab40ec5f9a76
1849,Stichtse Vecht,GM1904,15,De Werkspecht,"bijeenkomstfunctie, gezondheidszorgfunctie",,Wijk 12 Maarssenbroek,WK190412,Spechtenkamp,BU19041215,0333200000002970,Spechtenkamp,231,,3607KN,Maarssen,,,,5.01670892374135,52.1379666436302,15.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,4dccba6ba51348c8b802a63e410fb655
1850,Stichtse Vecht,GM1904,16,De Valkenier,"woonfunctie, overige gebruiksfunctie",,Wijk 12 Maarssenbroek,WK190412,Valkenkamp,BU19041207,0333200000011233,Valkenkamp,555,,3607MJ,Maarssen,,,,5.01491006854599,52.1372051679405,16.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,9807c89108d64368b27a1c4a4abddcb3
1851,Stichtse Vecht,GM1904,2,De Vondel,woonfunctie,,Wijk 01 Maarssen,WK190401,Lanenkwartier,BU19040109,0333100000009480,Achter Maria Dommer,3,,3601GX,Maarssen,,,,5.0389,52.14432,2.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,106e5e374c174b8e8058ede47fcf1309
1852,Stichtse Vecht,GM1904,18,Willem van Hoornhof,woonfunctie,,Wijk 12 Maarssenbroek,WK190412,Zebraspoor,BU19041210,0333100000018802,Zebraspoor,353,,3605GT,Maarssen,,,,5.01616,52.14142,18.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,7ffdc6a6765145be96d1a03013e719c5
1853,Stichtse Vecht,GM1904,17,KBS Franciscus,onderwijsfunctie,,Wijk 12 Maarssenbroek,WK190412,Zwanenkamp,BU19041206,0333200000008481,Zwanenkamp,1305,,3607NZ,Maarssen,Gymzaal naast 't Schuurtje,,,5.00990645735635,52.1411960130667,17.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,e4f15fe10ea14ed08c70a00f8cb0de13
1854,Stichtse Vecht,GM1904,27,Dorpshuis Ons Genoegen,"bijeenkomstfunctie, onderwijsfunctie",,Wijk 04 Nieuwer Ter Aa,WK190404,Nieuwer Ter Aa,BU19040402,0311100000009107,Doude van Troostwijkstraat,20,,3626AV,Nieuwer Ter Aa,,,,4.98047,52.19005,27.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,85d4e0827520439ba44a2378c8a04f8b
1855,Amsterdam,GM0363,,KBS De Boomgaard,onderwijsfunctie,,Landlust,WK036337,Gibraltarbuurt,BU03633705,0363200000108278,Gibraltarstraat,61,,1055NK,Amsterdam,,,,4.850035054,52.383842778,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Amsterdam,Amsterdam,,,NLODSGM0363stembureaus20180321002,b7ac799af9ed4cff8a3261f980d55a58
1856,Stichtse Vecht,GM1904,32,Dorpshuis Nigtevecht,gezondheidszorgfunctie,,Wijk 08 Nigtevecht,WK190408,Nigtevecht Dorp,BU19040804,0329200000002852,Jhr. Huydecoperstraat,1,,1393NV,Nigtevecht,,,,5.02634765408365,52.2738439646937,32.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,b5125141f5e2491891905c619af31de6
1857,Stichtse Vecht,GM1904,6,Restaurant Belle,industriefunctie,,Wijk 11 Oud Zuilen,WK190411,Oud-Zuilen,BU19041101,0333200000018212,Dorpsstraat,12,,3611AE,Oud Zuilen,,,,5.07088889241543,52.1271474405195,6.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,025e3679739d4aebb7f030d0de0aeb10
1858,Stichtse Vecht,GM1904,7,Dorpshuis De Veenkluit,"onderwijsfunctie, sportfunctie",,Wijk 07 Tienhoven,WK190407,Tienhoven-Oud Maarsseveen,BU19040703,0333100000012122,Ds. Ulferslaan,25,,3612BH,Tienhoven,,,,5.08251,52.16562,7.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,N,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,133eda72648443b9af871f4f9663be01
1859,Stichtse Vecht,GM1904,33,Dorpshuis Vreeland,"bijeenkomstfunctie, kantoorfunctie",,Wijk 06 Vreeland,WK190406,Vreeland Dorp,BU19040603,0329200000004149,Fetha,16,,3633CT,Vreeland,,,,5.03163392518022,52.2303297109905,33.0,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Stichtse Vecht,Stichtse Vecht,data@stichtsevecht.nl,https://ckan.dataplatform.nl/dataset/stichtse-vecht-stembureaus-2018,NLODSGM1904stembureaus20180321002,ebb7beff22c849dea87c5d0436b85781
1860,Overbetuwe,GM1734,12,RSKV Driel,bijeenkomstfunctie,,Wijk 01 Driel,WK173401,Verspreide huizen poldergebied Driel,BU17340109,1734200000028093,Dorpsstraat,13,,6665CB,Driel,,,,5.81858687879654,51.9549523428429,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,N,Y,Overbetuwe,Overbetuwe,tel. 140481,https://www.overbetuwe.nl/,NLODSGM1734stembureaus20180321002,4c8ce2a599fd442b8570f6a6adeef245
1861,Overbetuwe,GM1734,18,De Wanmolen,"bijeenkomstfunctie, sportfunctie",,Wijk 02 Zetten,WK173402,Zetten,BU17340200,1734200000029097,Schweitzerpark,2,,6671BR,Zetten,,,,5.712593923498,51.9276589430716,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,N,Y,Overbetuwe,Overbetuwe,tel. 140481,https://www.overbetuwe.nl/,NLODSGM1734stembureaus20180321002,2d6ed7312de740e38c4aa3f97743f294
1862,Rotterdam,GM0599,82,BS Park16Hoven,kantoorfunctie,,Overschie,WK059904,Zestienhoven,BU05990455,0599100100004186,Tinbergenlaan,52,,3045BJ,Rotterdam,Tinbergenlaan 50-52,,,4.45365188059093,51.9483014982889,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Rotterdam,Rotterdam,verkiezingenpzr@rotterdam.nl,https://www.rotterdam.nl/wonen-leven/verkiezingen/,NLODSGM0599stembureaus20180321002,3168a85aa16442af879405c77ddbf5eb
1863,Rotterdam,GM0599,67,De Evenaar,"woonfunctie, gezondheidszorgfunctie",,Prins Alexander,WK059914,Oosterflank,BU05991467,0599100000700735,Kroonstaddreef,20,,3067RT,Rotterdam,Vaasahof 75,,,4.5669307371632,51.9441520676383,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Rotterdam,Rotterdam,verkiezingenpzr@rotterdam.nl,https://www.rotterdam.nl/wonen-leven/verkiezingen/,NLODSGM0599stembureaus20180321002,8ad1bced5af349278126d296cd461385
1864,Rotterdam,GM0599,63,BS De Pionier,onderwijsfunctie,,Prins Alexander,WK059914,Oosterflank,BU05991467,0599100000702233,Tyruspad,30,,3067MK,Rotterdam,Valenciadreef 6,,,4.55968450262877,51.9459367728952,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Rotterdam,Rotterdam,verkiezingenpzr@rotterdam.nl,https://www.rotterdam.nl/wonen-leven/verkiezingen/,NLODSGM0599stembureaus20180321002,a0f041f6d7414dc8ac03f4e02eae0ffa
